Region,Governorate,Income_Category,Date,GDP_Per_Capita_USD,Organic_Waste_Percentage,Plastic_Percentage,Paper_Cardboard_Percentage,Glass_Percentage,Metal_Percentage,Other_Waste_Percentage,Recycling_Rate_Percentage,Population,Total_MSW_Generated_Tons_Month,Agricultural_Waste_Tons_Year,Construction_Demolition_Waste_Tons_Year,E_Waste_Tons_Year,Hazardous_Waste_Tons_Year,Medical_Waste_Tons_Year,Total_Annual_MSW_Tons_Year,Waste_Collection_Coverage_Population_Percentage,Waste_Collection_Coverage_Waste_Percentage,Compost_Treatment_Percentage,Incineration_Percentage,Data_Source
Suez Canal Region,Ismailia,Lower Middle Income,2024-10,3200,57.7,9.5,9.1,4.7,5.9,13.1,18,1417739,38279,429889,62254,1298,6234,1562,465727,88.4,83.9,10.1,2.2,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2024-11,3200,53.6,10.5,10.3,9.3,5,11.3,18.2,1419723,38333,429889,62254,1298,6234,1562,466379,84.5,80.3,10.8,1.4,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2024-12,3200,50.2,9.8,11.5,12.2,1.5,14.8,18.2,1421711,38386,429889,62254,1298,6234,1562,467032,86.2,81.9,13.5,2.5,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-01,3350,50.9,12,9.5,3.1,12.2,12.3,18.4,1423701,38440,440948,60298,1273,6289,1637,467686,86.1,81.8,11.8,2,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-02,3350,65.5,6.1,13.2,9.8,0.9,4.6,18.6,1425695,38494,440948,60298,1273,6289,1637,468341,85.8,81.5,11.1,1.8,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-03,3350,55.4,11.6,11.5,10.7,1.3,9.4,18,1427691,45487,440948,60298,1273,6289,1637,468996,88.9,84.5,13.6,1.5,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-04,3350,51.1,13.6,11.8,1.8,6,15.7,18.3,1429689,38602,462940,60269,1327,5903,1681,469653,84.8,80.6,13.3,2.5,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-05,3350,61,10.2,8.7,0.5,4.3,15.3,19.2,1431691,38656,462940,60269,1327,5903,1681,470310,86.9,82.5,13.1,2.2,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-06,3350,57.5,15.4,11.6,3.7,3.2,8.5,19.2,1433695,38710,462940,60269,1327,5903,1681,470969,86.8,82.5,11.7,2.2,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-07,3350,55.3,13.7,7.2,7.9,0.5,15.4,19.1,1435702,38764,432951,58401,1238,5973,1675,471628,86.6,82.2,12.5,1.3,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-08,3350,50.5,14.4,12.1,6,0.4,16.7,19.3,1437712,38818,432951,58401,1238,5973,1675,472288,87.8,83.4,12.1,2,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-09,3350,64.6,11.5,11.5,0.6,0.5,11.4,19.6,1439725,38873,432951,58401,1238,5973,1675,472950,85.1,80.9,11.2,2,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-10,3350,62.3,13.4,7.1,1.4,3.3,12.5,19.4,1441741,38927,460190,63501,1232,6000,1653,473612,86.9,82.6,12,1.6,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-11,3350,49.5,13.3,16.5,7.2,3.6,9.8,19.4,1443759,38981,460190,63501,1232,6000,1653,474275,86.5,69.9,10.6,2.2,Ministry of Environment - Suez Canal Region Report
Suez Canal Region,Ismailia,Lower Middle Income,2025-12,3350,56.9,14.3,8,7.3,0.5,12.9,20,1445781,39036,460190,63501,1232,6000,1653,474939,88.6,84.2,10.3,1.7,Ministry of Environment - Suez Canal Region Report
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-01,3690,57,11.7,9.1,3.5,0.5,18.2,12.2,3423177,51348,1110770,152225,3049,14578,3878,624730,47.2,41.1,10.6,2.4,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-02,3690,56.3,15.5,12.9,0.5,3.7,11.1,11.4,3427969,51420,1110770,152225,3049,14578,3878,625604,46.1,40.1,13.1,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-03,3690,62.2,8.7,7.5,0.5,0.5,20.6,12.7,3432768,51492,1110770,152225,3049,14578,3878,626480,48.3,42.1,14,1.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-04,3690,58.3,12.1,6.7,6.9,0.5,15.5,12.6,3437574,60846,1102441,141408,2932,14657,3789,627357,43.9,38,13.8,1.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-05,3690,53.4,10.5,13.4,7.4,5.5,9.9,12.6,3442387,51636,1102441,141408,2932,14657,3789,628236,45,39,11.4,2.2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-06,3690,56.5,14.4,7.2,10.1,0.5,11.2,13.1,3447206,51708,1102441,141408,2932,14657,3789,629115,36.8,26.5,11.9,2.4,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-07,3690,60.1,1.9,4.7,7.2,3.6,22.6,13.5,3452032,51780,1048821,144362,2954,15091,3767,629996,43.7,37.7,11.7,1.9,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-08,3690,61.5,14.3,11.1,4.3,0.5,8.3,13.3,3456865,51853,1048821,144362,2954,15091,3767,630878,39.1,33.4,12.6,2.1,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-09,3690,51.1,13.9,10.2,0.5,6.2,18.1,12.4,3461705,51926,1048821,144362,2954,15091,3767,631761,45.2,39.2,10.1,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-10,3690,53.2,15.1,7,7.3,3.1,14.3,12.7,3466551,51998,1079830,148502,3257,14755,3999,632646,40.5,34.7,11.7,2.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-11,3690,57.7,12.6,6.5,3.7,7.1,12.4,13.1,3471404,52071,1079830,148502,3257,14755,3999,633531,43,37.1,12.7,1.4,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2021-12,3690,51.5,13.8,7.7,8.2,1.5,17.3,13.5,3476264,52144,1079830,148502,3257,14755,3999,634418,43.2,37.3,13.9,2.2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-01,4295,63,14,6.9,4.1,2.3,9.6,13.8,3481131,52217,1078585,144097,3151,15453,4065,635306,44,38,12.7,2.4,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-02,4295,51.2,9,11.6,8.5,0.5,19.3,13.4,3486004,52290,1078585,144097,3151,15453,4065,636196,37.8,32.2,10.8,2.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-03,4295,58.4,9.5,13.8,2.3,2.9,13.1,14,3490885,52363,1078585,144097,3151,15453,4065,637087,47.5,41.3,12.5,2.2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-04,4295,59.9,15.9,8.9,0.5,5.4,9.4,13.7,3495772,61876,1047115,145033,3219,15167,4102,637978,37.3,31.7,12,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-05,4295,55.1,19.1,5.6,0.5,5.9,13.7,13.9,3500666,52510,1047115,145033,3219,15167,4102,638872,43.4,37.5,12.9,1.5,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-06,4295,57.4,12.3,11.5,1,9.2,8.6,13.7,3505567,52584,1047115,145033,3219,15167,4102,639766,49.9,43.6,13.8,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-07,4295,59.1,15.8,7.1,0.5,7.2,10.2,14,3510475,52657,1078055,150472,3285,14487,4132,640662,41,35.2,11,2.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-08,4295,52.3,16.2,9.8,0.5,9.7,11.6,14,3515390,52731,1078055,150472,3285,14487,4132,641559,37.2,31.6,12.6,2.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-09,4295,49.1,12.6,11.5,10.7,0.5,15.7,14.3,3520311,52805,1078055,150472,3285,14487,4132,642457,38.5,32.9,13.7,1.5,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-10,4295,51.9,10.9,11.6,6.7,0.4,18.4,15.2,3525240,52879,1087902,148457,3283,14379,4162,643356,40,34.3,13.1,1.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-11,4295,52.6,9,9.5,12.5,1.8,14.7,14.5,3530175,52953,1087902,148457,3283,14379,4162,644257,35.1,29.6,13.1,1.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2022-12,4295,59.3,11.3,5.2,2.3,8.2,13.7,16.2,3535117,53027,1087902,148457,3283,14379,4162,645159,41.5,35.7,12.8,2.1,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-01,3700,61.9,15.4,7.2,4,0.5,11,15.4,3540066,53101,1146480,149917,3127,15397,4037,646062,47.8,41.6,13.9,2.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-02,3700,55.2,12.7,10,1.2,7,13.8,15.4,3545022,53175,1146480,149917,3127,15397,4037,646967,35.4,29.9,12.8,2.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-03,3700,66.2,19.2,3.9,0.5,0.5,9.8,15.2,3549985,62835,1146480,149917,3127,15397,4037,647872,36,30.5,12.5,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-04,3700,46.8,8.7,14.9,9.4,2.4,17.8,15.9,3554955,53324,1145799,145289,3294,15187,4145,648779,44.5,38.5,10.4,1.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-05,3700,66.5,11.9,2,3.3,0.5,15.8,15.5,3559932,53399,1145799,145289,3294,15187,4145,649688,45.6,33.7,12.4,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-06,3700,56.8,13.4,12.3,0.5,4.7,12.4,15.9,3564916,53474,1145799,145289,3294,15187,4145,650597,46.9,40.8,14,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-07,3700,59,17.7,5.3,3.1,2.4,12.5,17,3569907,53549,1103237,150476,3048,14871,3917,651508,35.7,30.1,12.2,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-08,3700,60.5,10.3,8.1,1.2,7.6,12.3,16.1,3574905,53624,1103237,150476,3048,14871,3917,652420,40.4,34.7,10.9,1.9,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-09,3700,46.2,16.8,7.7,6.8,7.8,14.7,16.8,3579910,53699,1103237,150476,3048,14871,3917,653334,41.6,35.8,12.3,2.2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-10,3700,55.3,15.6,4.8,0.9,0.6,22.8,16.1,3584922,53774,1130136,156496,3345,14678,3975,654248,35.1,29.6,10.7,2.1,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-11,3700,54.5,10.1,6.1,6.5,3.7,19,16.5,3589941,53849,1130136,156496,3345,14678,3975,655164,40.8,35,11,2.2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2023-12,3700,56.8,7.3,6.4,9.2,2.1,18.2,17.4,3594967,53925,1130136,156496,3345,14678,3975,656081,44.9,38.9,12,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-01,3200,62.1,9.9,9.9,0.6,0.8,16.7,16.5,3600000,54000,1105481,153037,3172,15066,4271,657000,49.6,43.4,12.3,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-02,3200,63.5,7.4,10.9,1.8,0.5,15.9,17.6,3605040,54076,1105481,153037,3172,15066,4271,657920,40.9,35.1,10.8,1.8,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-03,3200,53.2,16.3,12.9,7.6,1,9,17.4,3610087,63898,1105481,153037,3172,15066,4271,658841,38.5,28,14,2.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-04,3200,61.2,13.4,8.4,0.5,3,13.5,17,3615141,54227,1087726,152361,3197,15558,4236,659763,38.2,32.6,10.6,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-05,3200,56.2,14.8,13.6,0.5,4.6,10.4,17.6,3620202,54303,1087726,152361,3197,15558,4236,660687,43.7,37.8,12.8,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-06,3200,48.9,10.8,13.8,2.5,8.7,15.3,17.9,3625270,54379,1087726,152361,3197,15558,4236,661612,39.7,34,11.6,2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-07,3200,49.5,16.2,10.6,0.5,9.7,13.6,17.8,3630346,54455,1126154,159912,3233,15844,4082,662538,37.1,31.5,10.5,1.8,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-08,3200,54,9.3,14.2,5.8,5.2,11.5,17.1,3635428,54531,1126154,159912,3233,15844,4082,663466,42.7,36.8,10.8,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-09,3200,61.1,17.2,7.6,0.5,5.6,7.9,17.6,3640518,54608,1126154,159912,3233,15844,4082,664395,35.2,29.6,12.7,2.4,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-10,3200,54.2,10.8,14.1,2.2,7.1,11.5,17.9,3645614,54684,1190016,150267,3284,16082,4278,665325,38.7,33,11.9,2.2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-11,3200,49.9,17.6,4.8,4.2,11.7,11.8,18.1,3650718,54761,1190016,150267,3284,16082,4278,666256,46.4,40.3,10.7,1.9,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2024-12,3200,58.1,16.9,10.5,0.5,7.7,6.4,18.5,3655829,54837,1190016,150267,3284,16082,4278,667189,42.5,36.6,10.6,1.5,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-01,3350,54.7,17.9,8.7,1.3,6.7,10.7,18.5,3660947,54914,1116036,162516,3126,14915,4110,668123,37.5,31.9,13.4,1.4,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-02,3350,53,14.6,9.6,0.5,5.8,16.5,18,3666073,54991,1116036,162516,3126,14915,4110,669058,45.5,39.5,12.5,1.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-03,3350,54.5,10.5,10.7,7.9,1.6,14.8,18.9,3671205,64980,1116036,162516,3126,14915,4110,669995,42.3,36.4,10.3,1.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-04,3350,57.1,16.2,9.9,0.5,1.1,15.2,19,3676345,55145,1171297,152530,3224,14865,3999,670933,46.3,40.2,13.1,2,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-05,3350,55.7,9.6,11.7,2.4,3.1,17.5,19.1,3681492,55222,1171297,152530,3224,14865,3999,671872,47.3,41.2,13.2,1.9,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-06,3350,61.1,8.1,8,9.4,3.8,9.6,19.5,3686646,55300,1171297,152530,3224,14865,3999,672813,35.9,30.4,10.9,2.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-07,3350,45.1,13.5,11.9,3.5,11.2,14.8,19.5,3691807,55377,1194418,152263,3308,15555,4047,673755,37.1,31.5,11.8,2.6,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-08,3350,56.4,9.9,6.2,5.4,1.1,21.1,19.5,3696976,55455,1194418,152263,3308,15555,4047,674698,42.9,37,13.1,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-09,3350,59.4,15.1,5.1,1.2,7.9,11.4,19.5,3702151,55532,1194418,152263,3308,15555,4047,675643,37.4,31.8,12.2,1.7,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-10,3350,58,14.4,9.8,1.1,2.4,14.2,18.9,3707334,55610,1196314,155578,3460,15427,4112,676588,47.3,41.2,13.5,1.3,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-11,3350,60.8,9.6,9.2,4.2,5.7,10.5,19.9,3712525,55688,1196314,155578,3460,15427,4112,677536,48.5,42.3,11.6,2.1,National Solid Waste Management Program (NSWMP)
Delta Region,Kafr El Sheikh,Lower Middle Income,2025-12,3350,56.7,17.4,4.4,10.2,2.4,8.8,20,3717722,55766,1196314,155578,3460,15427,4112,678484,46.9,40.8,10.7,2.4,National Solid Waste Management Program (NSWMP)
South Upper Egypt Region,Luxor,Lower Middle Income,2021-01,3690,54.3,14.7,7.8,4.1,5.9,13.2,11.5,1283691,19255,409825,52620,1096,5336,1381,234274,43.8,37.9,12.3,2.3,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-02,3690,47.8,10.8,14.5,9.7,0.5,16.8,11.7,1285488,19282,409825,52620,1096,5336,1381,234602,40.8,35,13.3,2,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-03,3690,58.2,17.3,8,0.5,5.4,10.7,12.7,1287288,19309,409825,52620,1096,5336,1381,234930,45.7,39.7,12.6,1.9,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-04,3690,54.5,7.4,11.8,4.3,5.9,16.2,12.4,1289090,22816,382542,52095,1162,5410,1496,235259,35.4,29.8,13.1,1.7,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-05,3690,57.5,13.6,8.4,3.4,0.5,16.5,12.8,1290895,19363,382542,52095,1162,5410,1496,235588,37.2,31.6,11.5,2.2,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-06,3690,59.9,9.6,15,4.3,3.9,7.3,12.7,1292702,19391,382542,52095,1162,5410,1496,235918,45.4,39.4,11,1.3,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-07,3690,47.1,13.2,12.7,1.1,9.4,16.5,12.8,1294512,19418,398520,52508,1188,5592,1458,236248,48.4,42.2,13.8,1.8,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-08,3690,50.6,12.6,19,0.5,4.9,12.4,13.3,1296324,19445,398520,52508,1188,5592,1458,236579,40.7,34.9,10.7,1.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-09,3690,49,15,7,7,10,12,12.9,1298139,19472,398520,52508,1188,5592,1458,236910,43,31.5,10.7,2.6,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-10,3690,54.5,9.9,9.5,3,5.8,17.3,13.2,1299956,19499,399232,57157,1223,5299,1538,237242,44.5,38.5,12.5,2.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-11,3690,50.2,17.3,14.6,6.7,0.7,10.5,13.1,1301776,19527,399232,57157,1223,5299,1538,237574,39.2,33.5,11.9,1.3,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2021-12,3690,53.3,17,5.2,6.6,0.5,17.5,13.3,1303599,19554,399232,57157,1223,5299,1538,237907,45.8,39.8,11.6,2.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-01,4295,46.3,15.1,11.9,8,7,11.7,13.5,1305424,19581,421146,55214,1131,5741,1526,238240,47.2,41,13.3,1.6,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-02,4295,66.5,11.4,2.1,0.6,4.2,15.2,13.8,1307251,19609,421146,55214,1131,5741,1526,238573,47.7,41.6,12.3,1.8,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-03,4295,59.4,16.3,9.6,0.5,2.9,11.3,13.7,1309082,19636,421146,55214,1131,5741,1526,238907,37.1,31.5,12.7,1.4,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-04,4295,51.5,15.3,7.4,9.2,7.1,9.5,14.5,1310914,23204,420151,54156,1143,5559,1519,239242,39.3,33.6,12.5,1.9,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-05,4295,48.4,12.1,13.7,1.8,6.2,17.7,13.7,1312750,19691,420151,54156,1143,5559,1519,239577,35.2,29.7,13.3,1.7,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-06,4295,56.5,10.9,13.9,4.8,0.5,13.4,14.2,1314587,19719,420151,54156,1143,5559,1519,239912,39.1,28.4,13.2,1.9,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-07,4295,60.5,7.3,14.3,2.3,0.5,15,14.2,1316428,19746,416880,53842,1189,5314,1459,240248,48.5,42.3,11.6,1.7,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-08,4295,54.1,20.4,7.9,0.5,5.4,11.7,15.1,1318271,19774,416880,53842,1189,5314,1459,240584,43.7,37.8,13.7,1.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-09,4295,52.6,15,5.9,0.5,9.9,16,14.8,1320116,19802,416880,53842,1189,5314,1459,240921,38.8,33.2,13.6,1.6,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-10,4295,52.9,12.5,11.6,7.6,0.5,14.9,15.2,1321965,19829,409775,55933,1178,5408,1498,241259,44,38,11.5,1.8,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-11,4295,52.5,12,10.4,3.9,5.9,15.3,14.3,1323815,19857,409775,55933,1178,5408,1498,241596,36.6,31,13.4,2,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2022-12,4295,54.9,8.1,9.5,12.4,0.5,14.5,15.2,1325669,19885,409775,55933,1178,5408,1498,241935,39.5,33.8,11.3,2.7,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-01,3700,53.2,11,10.5,9.6,5,10.8,15.6,1327525,19913,413065,58485,1146,5617,1534,242273,43.7,32,12.5,2.6,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-02,3700,56.2,11.1,6.5,8.1,1,17.2,15.3,1329383,19941,413065,58485,1146,5617,1534,242612,45.9,39.8,12.1,1.9,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-03,3700,50,16,9.2,7.8,9,8,15.9,1331244,23563,413065,58485,1146,5617,1534,242952,35.1,29.6,13.5,2.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-04,3700,64.6,7.9,6.4,0.9,5.3,14.9,15.4,1333108,19997,399966,55616,1221,5487,1498,243292,49.5,43.3,13.9,1.4,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-05,3700,47.5,11.6,10.5,5.7,6.3,18.4,16.3,1334974,20025,399966,55616,1221,5487,1498,243633,47.9,41.8,10.1,2.4,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-06,3700,56.9,11.1,12.7,0.5,0.5,18.3,16.8,1336843,20053,399966,55616,1221,5487,1498,243974,39.8,34.1,12.1,2.1,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-07,3700,56.8,8.2,4.1,4.2,7.6,19,15.9,1338715,20081,410343,57466,1247,5649,1493,244315,41.8,36,11.5,2.6,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-08,3700,54.6,20.3,9.5,3.3,0.5,11.8,15.9,1340589,20109,410343,57466,1247,5649,1493,244657,49,42.8,13.5,1.8,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-09,3700,52.7,17.3,5.9,5.3,6.3,12.5,16.9,1342466,20137,410343,57466,1247,5649,1493,245000,39.6,33.9,10.7,2.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-10,3700,54.7,16.3,15.1,0.6,2.3,10.9,17,1344345,20165,437394,55689,1151,5866,1527,245343,40.2,34.4,10.6,1.9,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-11,3700,44.6,16.8,9.8,10.2,6.3,12.4,16.3,1346227,20193,437394,55689,1151,5866,1527,245686,38,32.3,10,2.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2023-12,3700,50.4,14,12.6,4.8,6.7,11.5,16.5,1348112,20222,437394,55689,1151,5866,1527,246030,43.5,31.9,12.4,1.5,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2024-01,3200,56.3,13.7,11.8,0.5,0.5,17.2,16.7,1350000,20250,414240,55392,1239,5500,1497,246375,37.4,31.7,10.4,1.4,Ministry of Environment - Luxor City Sustainability Report
South Upper Egypt Region,Luxor,Lower Middle Income,2024-02,3200,53.1,12,8.4,9.8,7.9,8.9,16.4,1351890,20278,414240,55392,1239,5500,1497,246720,49.2,43,10.7,1.4,Ministry of Environment - Luxor City Sustainability Report
